Title,URL,Web
潮濕天氣來臨，電子器材大敵！抽濕機 7 折優惠 + 優惠碼替你迎戰,https://chinese.engadget.com/dehumidifiers-spring-sales-2021-033010698.html,chinese.engadget.com
Intel 的 11 代 Core i 處理器力求吸引玩家的目光,https://chinese.engadget.com/intel-11-th-gen-desktop-cpus-rocket-lake-s-024522043.html,chinese.engadget.com
按下海中十公尺的快門，專訪臺灣首位鯨豚攝影師 ── 金磊 | FLiPER - 生活藝文誌,https://flipermag.com/2021/03/11/interview-ray-chin/,flipermag.com
文理分組，男女選邊站？性別如何影響高中生選組──逢甲大學郭祐誠專訪 - PanSci 泛科學,https://pansci.asia/archives/315741,pansci.asia
改名鮭魚之前，你需要注意的事！他列5大點痛批：年輕人太自卑需要惡搞博取關注-風傳媒,https://www.storm.mg/lifestyle/3544708?page=1,www.storm.mg
未來已來、綠色先行 解構往後10年的運具電動化趨勢-風傳媒,https://www.storm.mg/lifestyle/3544408?page=1,www.storm.mg
24小時限定！Red Bull 串聯15間特色酒吧，絕無僅有的一站式微醺體驗-風傳媒,https://www.storm.mg/stylish/3544648,www.storm.mg
全聯雷品》吃一次就懷疑人生！腥味超重的美國雞、死甜的乳酪蛋糕…8個超難吃食物一次全公開-風傳媒,https://www.storm.mg/lifestyle/3539679,www.storm.mg
鮭魚之亂》25歲男改名「邱榮耀鮭魚壽司郎」爽吃6千元，店員還跑來握手…他笑回：人生苦短-風傳媒,https://www.storm.mg/lifestyle/3544558,www.storm.mg
全臺爆發鮭魚熱潮！ 內政部出面示警改名規則：小心「實至名鮭」-風傳媒,https://www.storm.mg/lifestyle/3544254,www.storm.mg
不想被薪資綁死，該如何財務自由？從什麼都不會到晉升超級散戶，股市菜雞3年大賺30億-風傳媒,https://www.storm.mg/lifestyle/3486393?page=1,www.storm.mg
宋朝宰相月薪600萬、文官高低階層收入相差50倍…揭重文輕武制度弊病-風傳媒,https://www.storm.mg/lifestyle/3544088?page=1,www.storm.mg
貓奴必知》貓咪可以活多久？貓的年齡要怎麼算？簡單4招教你判斷！-風傳媒,https://www.storm.mg/lifestyle/3542996,www.storm.mg
每次看電影都踩雷？推薦10位高人氣影評YouTuber，想看優質電影就聽他們的-風傳媒,https://www.storm.mg/lifestyle/3543706?page=1,www.storm.mg
腎不好不能吃香蕉？醫師破除迷思，點名三大傷腎地雷：最好少碰為妙！-風傳媒,https://www.storm.mg/lifestyle/3523060,www.storm.mg
離職交接別說得太清楚！過來人用一個例子道出人性黑暗面：運用這點小心機，才會被感謝-風傳媒,https://www.storm.mg/lifestyle/3543528,www.storm.mg
不準孩子哭，會影響他成年的情緒發展！心理師：父母不給小孩做的事，其實都和自己兒時記憶有關-風傳媒,https://www.storm.mg/lifestyle/3543642,www.storm.mg
一出門就迷路、經常被騙...小心你已經得了失智症！醫師：最嚴重甚至會出現幻覺-風傳媒,https://www.storm.mg/lifestyle/3539301?page=1,www.storm.mg
如何分辨公司裡誰是職場小人？最常見5大特徵，中了其中一點就該提高警覺-風傳媒,https://www.storm.mg/lifestyle/3541659?page=1,www.storm.mg
蘇花公路傳遊覽車重大事故 ，勾起多件傷心往事…回顧8大臺灣嚴重遊覽車事故-風傳媒,https://www.storm.mg/lifestyle/3542921,www.storm.mg
臺中女遭賓士撞飛斷頸不治！律師揭18歲無照富少超慘下場，不只違法還要加重這刑責-風傳媒,https://www.storm.mg/lifestyle/3542326,www.storm.mg
年後轉職潮》7成3企業大開缺！人力銀行人資曝履歷第一眼重點在這裡-風傳媒,https://www.storm.mg/stylish/3543562,www.storm.mg
蘇花公路重大車禍釀6死！乘客被彈到山溝、車身碎片散落一地...駕駛回憶驚魂瞬間-風傳媒,https://www.storm.mg/lifestyle/3542842,www.storm.mg
從鳳梨之亂看補助 陳衝籲建立全民基本所得-風傳媒,https://www.storm.mg/stylish/3543500,www.storm.mg
HOT大聯盟勇奪中古車加盟市場龍頭-風傳媒,https://www.storm.mg/stylish/3543484,www.storm.mg
全球20億人為此所苦 嚴重恐引發窒息危機-風傳媒,https://www.storm.mg/stylish/3543469,www.storm.mg
臺積電除息2.5元，盤整機率高？法人透露：恐壓抑大盤走勢-風傳媒,https://www.storm.mg/lifestyle/3543373,www.storm.mg
IDC：Apple 在購物季統治了可穿戴市場,https://chinese.engadget.com/apples-watch-and-air-pods-are-dominating-the-wearable-market-010037237.html,chinese.engadget.com
還在用「我今天要來介紹⋯⋯」當簡報開場？學3種專業破冰技巧，讓你說出影響力，快速征服聽眾！ | SmartM 新網路科技 x 新工作職缺,https://www.smartm.com.tw/Article/36363236cea3,www.smartm.com.tw
太甜的鳳梨不能做罐頭？夏威夷披薩幫不了鳳梨農？黃澄澄甜膩膩的鳳梨身世大解密 - PanSci 泛科學,https://pansci.asia/archives/314417,pansci.asia
入圍奧斯卡：《少年的你》列港片爭議再起，反送中紀錄片《不割席》更香港？ - The News Lens 關鍵評論網,https://www.thenewslens.com/article/148483,www.thenewslens.com
Google Fonts 推出 Material Icons 免費圖示字型，收錄兩千個圖案五種樣式,https://free.com.tw/google-fonts-material-icons/,free.com.tw
"GTC21 GPU技術大會將於4月12日登場，多位AI先驅帶來1,300場主題演說 | T客邦",https://www.techbang.com/posts/85212-nvidia-gtc21-ai,www.techbang.com
「臺灣女兒」闖過參院頭關！戴琪獲98比0支持，出任美國貿易代表就等眾院點頭-風傳媒,https://www.storm.mg/article/3544033,www.storm.mg
ROG Phone 5 在中國銷售爆量，「ROG 遊戲手機」小編宣佈銷售創歷史新高 | T客邦,https://www.techbang.com/posts/85213-asus-rog-phone-5-sells-up-in-china-announces-all-time-high,www.techbang.com
